PHYTOPLANKTON_GROUP,PERCENT_TOTAL_BV
Bacillariophyta,0.00
Bacillariophyta,0.03
Bacillariophyta,0.02
Bacillariophyta,0.03
Bacillariophyta,0.03
Bacillariophyta,0.07
Bacillariophyta,0.17
Bacillariophyta,0.02
Bacillariophyta,0.14
Bacillariophyta,0.00
Bacillariophyta,0.00
Bacillariophyta,0.01
Bacillariophyta,0.03
Bacillariophyta,0.24
Bacillariophyta,0.18
Bacillariophyta,0.72
Bacillariophyta,0.10
Bacillariophyta,0.01
Bacillariophyta,0.02
Bacillariophyta,0.07
Bacillariophyta,0.08
Bacillariophyta,0.00
Bacillariophyta,0.15
Bacillariophyta,0.00
Bacillariophyta,0.29
Bacillariophyta,0.00
Bacillariophyta,0.18
Bacillariophyta,0.11
Bacillariophyta,0.00
Bacillariophyta,0.00
Bacillariophyta,0.01
Bacillariophyta,0.11
Bacillariophyta,0.19
Bacillariophyta,0.08
Bacillariophyta,0.07
Bacillariophyta,0.04
Bacillariophyta,0.05
Bacillariophyta,0.13
Bacillariophyta,0.32
Bacillariophyta,0.00
Bacillariophyta,0.02
Bacillariophyta,0.00
Bacillariophyta,0.10
Bacillariophyta,0.00
Bacillariophyta,0.04
Bacillariophyta,0.00
Bacillariophyta,0.50
Bacillariophyta,0.00
Bacillariophyta,0.01
Bacillariophyta,0.01
Bacillariophyta,0.03
Bacillariophyta,0.56
Bacillariophyta,0.02
Bacillariophyta,0.25
Bacillariophyta,0.00
Bacillariophyta,0.00
Bacillariophyta,0.01
Bacillariophyta,0.00
Bacillariophyta,0.03
Bacillariophyta,0.04
Bacillariophyta,0.14
Bacillariophyta,0.35
Bacillariophyta,0.11
Bacillariophyta,0.07
Bacillariophyta,0.06
Bacillariophyta,0.09
Bacillariophyta,0.01
Bacillariophyta,0.02
Bacillariophyta,0.22
Bacillariophyta,0.00
Bacillariophyta,0.00
Bacillariophyta,0.00
Bacillariophyta,0.02
Bacillariophyta,0.50
Bacillariophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.06
Charophyta,0.01
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.02
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.01
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.02
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.01
Charophyta,0.02
Charophyta,0.00
Charophyta,0.02
Charophyta,0.00
Charophyta,0.00
Charophyta,0.06
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.01
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.02
Charophyta,0.07
Charophyta,0.00
Charophyta,0.00
Charophyta,0.01
Charophyta,0.00
Charophyta,0.00
Charophyta,0.05
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.02
Charophyta,0.00
Charophyta,0.05
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.01
Charophyta,0.00
Charophyta,0.02
Charophyta,0.00
Charophyta,0.01
Charophyta,0.00
Charophyta,0.00
Charophyta,0.04
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Charophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.02
Cryptophyta,0.01
Cryptophyta,0.04
Cryptophyta,0.12
Cryptophyta,0.05
Cryptophyta,0.00
Cryptophyta,0.07
Cryptophyta,0.01
Cryptophyta,0.03
Cryptophyta,0.03
Cryptophyta,0.14
Cryptophyta,0.00
Cryptophyta,0.01
Cryptophyta,0.06
Cryptophyta,0.01
Cryptophyta,0.10
Cryptophyta,0.04
Cryptophyta,0.09
Cryptophyta,0.00
Cryptophyta,0.00
Cryptophyta,0.02
Cryptophyta,0.07
Cryptophyta,0.28
Cryptophyta,0.00
