Lake,Ecoregion,EcoregionA,Soil_Infiltration_Rate,E_W
Stroud,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Talawanda #1,Arkansas Valley,AV,Very Slow,E
Talawanda #2,Arkansas Valley,AV,Very Slow,E
Taylor,Cross Timbers (Flint Hills),CT (FH),Slow,W
Tecumseh,Cross Timbers (Flint Hills),CT (FH),Moderate,E
Tenkiller,Ozark Highlands (Boston Mountains),OH (BM),Moderate,E
Texoma,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Thunderbird,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Tom Steed,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Slow,W
Walters,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,W
Waurika,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Moderate,W
Waxhoma,Cross Timbers (Flint Hills),CT (FH),Very Slow,E
Wayne Wallace,Arkansas Valley,AV,Slow,E
Webbers Falls,Central Irregular Plains (Boston Mountains),CIP (BM),Slow,E
Wes Watkins,Cross Timbers (Flint Hills),CT (FH),Moderate,E
Wetumka,Cross Timbers (Flint Hills),CT (FH),Slow,E
Wiley Post,Central Great Plains (Flint Hills & Southwestern Tablelands),CGP (FH & ST),Very Slow,E
Wister,Arkansas Valley,AV,Slow,E
WR Holway,Ozark Highlands (Boston Mountains),OH (BM),High,E
