,CL,PS,TB,CN,DO,pH,TM,NOx,Cyanobacteria,Chlorophyta,Bacillariophyta,Charophyta,Cryptophyta,Haptophyta,Ochrophyta,Euglenozoa,Miozoa
Humphreys,20.275,0.039,7.6425,547.8,9.125714286,8.194285714,19.45071429,0.128,3.825354495,0.866774964,0.046687397,0.12025202,0,0,0.005892847,0.054644791,0
Kaw,28.0975,0.16025,8.8875,1085.05,10.2,8.135,17.68975,0.536666667,1.479724716,0.453784391,0.219870542,0,0.672069157,0.003915246,0.03719484,0,0
Keystone,9.345,0.2245,53.82333333,918.6,7.293333333,7.811666667,18.38033333,0.621666667,3.650329956,1.101221977,0.00223169,0,0.023983331,0,0,0.175403033,0
Konawa,18,0.0528,5.88,523.55,8.888,8.316,21.3672,0.06,0.996075233,1.0162906,0.478364715,0.201034092,0.040966955,0.000951405,0.403300945,0.007653951,0.110754487
Lawtonka,24.8325,0.03075,7.475,266.4666667,8.685,7.845,19.0665,0.1,3.730482575,0.046630113,0.017370643,0,0,0,0,0,0
Lloyd Church,6.99,0.028,12.4,38,9.61,7.21,18.009,0.06,0.409881896,0.007200921,0.171681984,0,0,0.001223515,0.012215569,0,0
McAlester,7.9875,0.131,78.675,107.4,8.93,7.3075,17.9695,0.19,4.387645212,0.005220328,0.978811569,0,0.065254104,0,0.046982955,0,0
McGee Creek,4.1725,0.01775,8.3025,63.8,8.8325,7.1125,17.3805,0.163333333,0.954424016,0.052322889,0.131614773,0.012349068,0.057149545,0,0.041966546,0,0
McMurtry,6.661428571,0.022142857,10.8,282.7666667,10.27,8.24,14.77266667,0.096666667,1.671552741,0.024664405,0,0.003132197,0.055972768,0,0,0,0.046860922
Meeker,4.706666667,0.091,103.3333333,137.2666667,9.913333333,7.683333333,11.027,0.235,4.032696028,0.068382561,0,0,0.314307271,0,0.020881313,0,0
Mountain,5.37,0.02,6.273333333,263.4,8.01,8.023333333,20.982,0.14,1.032482742,0.206548374,0.029408415,0,0.055890977,0.005146374,3.280264517,0,0
New Spiro,40,0.1175,13.3,110.6,8.7425,7.1975,18.222,0.35,3.177982389,0.565696307,0.98124125,0,0.137903674,0.011368715,0.009866421,0.332202715,0
